Method,rho2,param_y,MAE
Neural-ECF,-0.9,1.5,7.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,10.0
e-Divisive,-0.9,1.5,1.0
KCPA,-0.9,1.5,1.0
Neural-ECF,-0.9,1.5,17.0
MIDAST[KS],-0.9,1.5,20.0
MIDAST[MMD],-0.9,1.5,190.0
e-Divisive,-0.9,1.5,7.0
KCPA,-0.9,1.5,17.0
Neural-ECF,-0.9,1.5,1.0
MIDAST[KS],-0.9,1.5,10.0
MIDAST[MMD],-0.9,1.5,10.0
e-Divisive,-0.9,1.5,10.0
KCPA,-0.9,1.5,1.0
Neural-ECF,-0.9,1.5,33.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,30.0
e-Divisive,-0.9,1.5,2.0
KCPA,-0.9,1.5,1.0
Neural-ECF,-0.9,1.5,2.0
MIDAST[KS],-0.9,1.5,10.0
MIDAST[MMD],-0.9,1.5,70.0
e-Divisive,-0.9,1.5,10.0
KCPA,-0.9,1.5,0.0
Neural-ECF,-0.9,1.5,45.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,10.0
e-Divisive,-0.9,1.5,5.0
KCPA,-0.9,1.5,8.0
Neural-ECF,-0.9,1.5,4.0
MIDAST[KS],-0.9,1.5,10.0
MIDAST[MMD],-0.9,1.5,70.0
e-Divisive,-0.9,1.5,8.0
KCPA,-0.9,1.5,4.0
Neural-ECF,-0.9,1.5,14.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,20.0
e-Divisive,-0.9,1.5,3.0
KCPA,-0.9,1.5,1.0
Neural-ECF,-0.9,1.5,12.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,30.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,1.0
Neural-ECF,-0.9,1.5,66.0
MIDAST[KS],-0.9,1.5,10.0
MIDAST[MMD],-0.9,1.5,140.0
e-Divisive,-0.9,1.5,2.0
KCPA,-0.9,1.5,2.0
Neural-ECF,-0.9,1.5,12.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,160.0
e-Divisive,-0.9,1.5,2.0
KCPA,-0.9,1.5,1.0
Neural-ECF,-0.9,1.5,7.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,220.0
e-Divisive,-0.9,1.5,4.0
KCPA,-0.9,1.5,1.0
Neural-ECF,-0.9,1.5,197.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,20.0
e-Divisive,-0.9,1.5,1.0
KCPA,-0.9,1.5,1.0
Neural-ECF,-0.9,1.5,14.0
MIDAST[KS],-0.9,1.5,30.0
MIDAST[MMD],-0.9,1.5,140.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,0.0
Neural-ECF,-0.9,1.5,47.0
MIDAST[KS],-0.9,1.5,10.0
MIDAST[MMD],-0.9,1.5,30.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,14.0
Neural-ECF,-0.9,1.5,1.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,10.0
e-Divisive,-0.9,1.5,6.0
KCPA,-0.9,1.5,1.0
Neural-ECF,-0.9,1.5,10.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,0.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,0.0
Neural-ECF,-0.9,1.5,29.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,110.0
e-Divisive,-0.9,1.5,1.0
KCPA,-0.9,1.5,1.0
Neural-ECF,-0.9,1.5,9.0
MIDAST[KS],-0.9,1.5,10.0
MIDAST[MMD],-0.9,1.5,10.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,1.0
Neural-ECF,-0.9,1.5,5.0
MIDAST[KS],-0.9,1.5,20.0
MIDAST[MMD],-0.9,1.5,10.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,0.0
Neural-ECF,-0.9,1.5,29.0
MIDAST[KS],-0.9,1.5,20.0
MIDAST[MMD],-0.9,1.5,160.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,27.0
Neural-ECF,-0.9,1.5,10.0
MIDAST[KS],-0.9,1.5,10.0
MIDAST[MMD],-0.9,1.5,120.0
e-Divisive,-0.9,1.5,43.0
KCPA,-0.9,1.5,3.0
Neural-ECF,-0.9,1.5,16.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,170.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,0.0
Neural-ECF,-0.9,1.5,42.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,110.0
e-Divisive,-0.9,1.5,3.0
KCPA,-0.9,1.5,3.0
Neural-ECF,-0.9,1.5,2.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,20.0
e-Divisive,-0.9,1.5,4.0
KCPA,-0.9,1.5,3.0
Neural-ECF,-0.9,1.5,21.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,280.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,0.0
Neural-ECF,-0.9,1.5,53.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,0.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,2.0
Neural-ECF,-0.9,1.5,20.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,100.0
e-Divisive,-0.9,1.5,1.0
KCPA,-0.9,1.5,0.0
Neural-ECF,-0.9,1.5,9.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,10.0
e-Divisive,-0.9,1.5,4.0
KCPA,-0.9,1.5,0.0
