Method,rho2,param_y,MAE
Neural-ECF,-0.9,1.5,11.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,10.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,0.0
Neural-ECF,-0.9,1.5,21.0
MIDAST[KS],-0.9,1.5,20.0
MIDAST[MMD],-0.9,1.5,240.0
e-Divisive,-0.9,1.5,34.0
KCPA,-0.9,1.5,16.0
Neural-ECF,-0.9,1.5,6.0
MIDAST[KS],-0.9,1.5,10.0
MIDAST[MMD],-0.9,1.5,30.0
e-Divisive,-0.9,1.5,1.0
KCPA,-0.9,1.5,1.0
Neural-ECF,-0.9,1.5,1.0
MIDAST[KS],-0.9,1.5,10.0
MIDAST[MMD],-0.9,1.5,140.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,4.0
Neural-ECF,-0.9,1.5,3.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,0.0
e-Divisive,-0.9,1.5,1.0
KCPA,-0.9,1.5,1.0
Neural-ECF,-0.9,1.5,2.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,0.0
e-Divisive,-0.9,1.5,6.0
KCPA,-0.9,1.5,6.0
Neural-ECF,-0.9,1.5,11.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,160.0
e-Divisive,-0.9,1.5,3.0
KCPA,-0.9,1.5,3.0
Neural-ECF,-0.9,1.5,1.0
MIDAST[KS],-0.9,1.5,20.0
MIDAST[MMD],-0.9,1.5,160.0
e-Divisive,-0.9,1.5,16.0
KCPA,-0.9,1.5,16.0
Neural-ECF,-0.9,1.5,4.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,0.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,0.0
Neural-ECF,-0.9,1.5,0.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,270.0
e-Divisive,-0.9,1.5,3.0
KCPA,-0.9,1.5,3.0
Neural-ECF,-0.9,1.5,0.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,290.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,0.0
Neural-ECF,-0.9,1.5,3.0
MIDAST[KS],-0.9,1.5,10.0
MIDAST[MMD],-0.9,1.5,300.0
e-Divisive,-0.9,1.5,3.0
KCPA,-0.9,1.5,3.0
Neural-ECF,-0.9,1.5,32.0
MIDAST[KS],-0.9,1.5,10.0
MIDAST[MMD],-0.9,1.5,140.0
e-Divisive,-0.9,1.5,13.0
KCPA,-0.9,1.5,13.0
Neural-ECF,-0.9,1.5,5.0
MIDAST[KS],-0.9,1.5,10.0
MIDAST[MMD],-0.9,1.5,160.0
e-Divisive,-0.9,1.5,1.0
KCPA,-0.9,1.5,1.0
Neural-ECF,-0.9,1.5,7.0
MIDAST[KS],-0.9,1.5,10.0
MIDAST[MMD],-0.9,1.5,170.0
e-Divisive,-0.9,1.5,3.0
KCPA,-0.9,1.5,3.0
Neural-ECF,-0.9,1.5,1.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,170.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,0.0
Neural-ECF,-0.9,1.5,2.0
MIDAST[KS],-0.9,1.5,20.0
MIDAST[MMD],-0.9,1.5,150.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,0.0
Neural-ECF,-0.9,1.5,1.0
MIDAST[KS],-0.9,1.5,10.0
MIDAST[MMD],-0.9,1.5,140.0
e-Divisive,-0.9,1.5,2.0
KCPA,-0.9,1.5,2.0
Neural-ECF,-0.9,1.5,11.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,0.0
e-Divisive,-0.9,1.5,4.0
KCPA,-0.9,1.5,1.0
Neural-ECF,-0.9,1.5,7.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,160.0
