Method,n_star_ratio,MAE
Neural-ECF,0.1,103.0
MIDAST[KS],0.1,100.0
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,10.0
KCPA,0.1,10.0
Neural-ECF,0.1,121.0
MIDAST[KS],0.1,160.0
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,5.0
KCPA,0.1,8.0
Neural-ECF,0.1,
MIDAST[KS],0.1,160.0
MIDAST[MMD],0.1,160.0
e-Divisive,0.1,92.0
KCPA,0.1,0.0
Neural-ECF,0.1,121.0
MIDAST[KS],0.1,120.0
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,5.0
KCPA,0.1,5.0
Neural-ECF,0.1,
MIDAST[KS],0.1,110.0
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,10.0
KCPA,0.1,2.0
Neural-ECF,0.1,107.0
MIDAST[KS],0.1,110.0
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,8.0
KCPA,0.1,0.0
Neural-ECF,0.1,
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,0.0
KCPA,0.1,0.0
Neural-ECF,0.1,408.0
MIDAST[KS],0.1,100.0
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,2.0
KCPA,0.1,2.0
Neural-ECF,0.1,
MIDAST[KS],0.1,410.0
MIDAST[MMD],0.1,
e-Divisive,0.1,2.0
KCPA,0.1,0.0
Neural-ECF,0.1,
MIDAST[KS],0.1,100.0
MIDAST[MMD],0.1,530.0
e-Divisive,0.1,1.0
KCPA,0.1,1.0
Neural-ECF,0.1,
MIDAST[KS],0.1,230.0
MIDAST[MMD],0.1,210.0
e-Divisive,0.1,4.0
KCPA,0.1,2.0
Neural-ECF,0.1,627.0
MIDAST[KS],0.1,670.0
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,3.0
KCPA,0.1,1.0
Neural-ECF,0.1,
MIDAST[KS],0.1,100.0
MIDAST[MMD],0.1,110.0
e-Divisive,0.1,4.0
KCPA,0.1,1.0
Neural-ECF,0.1,
MIDAST[KS],0.1,
MIDAST[MMD],0.1,
e-Divisive,0.1,26.0
KCPA,0.1,7.0
Neural-ECF,0.1,
MIDAST[KS],0.1,100.0
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,209.0
KCPA,0.1,4.0
Neural-ECF,0.1,
MIDAST[KS],0.1,140.0
MIDAST[MMD],0.1,490.0
e-Divisive,0.1,40.0
KCPA,0.1,12.0
Neural-ECF,0.1,
MIDAST[KS],0.1,
MIDAST[MMD],0.1,
e-Divisive,0.1,2.0
KCPA,0.1,2.0
Neural-ECF,0.1,
MIDAST[KS],0.1,690.0
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,38.0
KCPA,0.1,0.0
Neural-ECF,0.1,
MIDAST[KS],0.1,100.0
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,1.0
KCPA,0.1,0.0
Neural-ECF,0.1,294.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,
e-Divisive,0.1,1.0
KCPA,0.1,1.0
Neural-ECF,0.1,
MIDAST[KS],0.1,100.0
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,8.0
KCPA,0.1,0.0
Neural-ECF,0.1,
MIDAST[KS],0.1,470.0
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,10.0
KCPA,0.1,10.0
Neural-ECF,0.1,109.0
MIDAST[KS],0.1,100.0
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,10.0
KCPA,0.1,0.0
Neural-ECF,0.1,
MIDAST[KS],0.1,100.0
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,13.0
KCPA,0.1,0.0
Neural-ECF,0.1,
MIDAST[KS],0.1,100.0
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,1.0
KCPA,0.1,0.0
