Method,n_star_ratio,MAE
Neural-ECF,0.1,119.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,4.0
KCPA,0.1,0.0
Neural-ECF,0.1,106.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,0.0
KCPA,0.1,1.0
Neural-ECF,0.1,101.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,1.0
KCPA,0.1,2.0
Neural-ECF,0.1,108.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,0.0
KCPA,0.1,0.0
Neural-ECF,0.1,112.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,0.0
KCPA,0.1,0.0
Neural-ECF,0.1,102.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,0.0
KCPA,0.1,0.0
Neural-ECF,0.1,111.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,7.0
KCPA,0.1,0.0
Neural-ECF,0.1,111.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,0.0
KCPA,0.1,0.0
Neural-ECF,0.1,106.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,11.0
KCPA,0.1,0.0
Neural-ECF,0.1,102.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,5.0
KCPA,0.1,1.0
Neural-ECF,0.1,101.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,3.0
KCPA,0.1,3.0
Neural-ECF,0.1,101.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,1.0
KCPA,0.1,1.0
Neural-ECF,0.1,102.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,1.0
KCPA,0.1,0.0
Neural-ECF,0.1,103.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,0.0
KCPA,0.1,0.0
Neural-ECF,0.1,102.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,0.0
KCPA,0.1,0.0
Neural-ECF,0.1,107.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,1.0
KCPA,0.1,0.0
Neural-ECF,0.1,107.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,0.0
KCPA,0.1,1.0
Neural-ECF,0.1,102.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,2.0
KCPA,0.1,4.0
Neural-ECF,0.1,105.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,1.0
KCPA,0.1,1.0
Neural-ECF,0.1,101.0
MIDAST[KS],0.1,100.0
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,0.0
KCPA,0.1,3.0
Neural-ECF,0.1,103.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,1.0
KCPA,0.1,0.0
Neural-ECF,0.1,104.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,1.0
KCPA,0.1,1.0
Neural-ECF,0.1,107.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,3.0
KCPA,0.1,0.0
Neural-ECF,0.1,102.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,5.0
KCPA,0.1,0.0
Neural-ECF,0.1,109.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,0.0
KCPA,0.1,0.0
Neural-ECF,0.1,112.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,3.0
KCPA,0.1,2.0
Neural-ECF,0.1,109.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,0.0
KCPA,0.1,1.0
Neural-ECF,0.1,112.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,1.0
KCPA,0.1,1.0
Neural-ECF,0.1,110.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,2.0
KCPA,0.1,1.0
Neural-ECF,0.1,105.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,4.0
KCPA,0.1,1.0
Neural-ECF,0.1,101.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,2.0
KCPA,0.1,1.0
Neural-ECF,0.1,109.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,0.0
KCPA,0.1,0.0
Neural-ECF,0.1,105.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,4.0
KCPA,0.1,0.0
Neural-ECF,0.1,101.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,0.0
KCPA,0.1,0.0
Neural-ECF,0.1,105.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,1.0
KCPA,0.1,0.0
Neural-ECF,0.1,102.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,399.0
KCPA,0.1,13.0
Neural-ECF,0.1,106.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,1.0
KCPA,0.1,9.0
Neural-ECF,0.1,118.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,1.0
KCPA,0.1,1.0
Neural-ECF,0.1,109.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,2.0
KCPA,0.1,0.0
Neural-ECF,0.1,106.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,1.0
KCPA,0.1,2.0
Neural-ECF,0.1,110.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,7.0
KCPA,0.1,0.0
Neural-ECF,0.1,105.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,0.0
KCPA,0.1,0.0
Neural-ECF,0.1,110.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,0.0
KCPA,0.1,0.0
Neural-ECF,0.1,104.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,5.0
KCPA,0.1,0.0
Neural-ECF,0.1,118.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,0.0
KCPA,0.1,0.0
Neural-ECF,0.1,106.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,1.0
KCPA,0.1,1.0
Neural-ECF,0.1,107.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,0.0
KCPA,0.1,0.0
Neural-ECF,0.1,101.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,5.0
KCPA,0.1,5.0
Neural-ECF,0.1,104.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,1.0
KCPA,0.1,0.0
Neural-ECF,0.1,102.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,6.0
KCPA,0.1,6.0
Neural-ECF,0.1,102.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,1.0
KCPA,0.1,0.0
Neural-ECF,0.1,110.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,0.0
KCPA,0.1,0.0
Neural-ECF,0.1,107.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,0.0
KCPA,0.1,0.0
Neural-ECF,0.1,114.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,1.0
KCPA,0.1,0.0
Neural-ECF,0.1,111.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,0.0
KCPA,0.1,0.0
Neural-ECF,0.1,110.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,1.0
KCPA,0.1,2.0
Neural-ECF,0.1,103.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,0.0
KCPA,0.1,1.0
Neural-ECF,0.1,112.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,2.0
KCPA,0.1,5.0
Neural-ECF,0.1,101.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,0.0
KCPA,0.1,1.0
Neural-ECF,0.1,113.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,3.0
KCPA,0.1,1.0
Neural-ECF,0.1,104.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,0.0
KCPA,0.1,0.0
Neural-ECF,0.1,105.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,17.0
KCPA,0.1,0.0
Neural-ECF,0.1,104.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,0.0
KCPA,0.1,0.0
Neural-ECF,0.1,102.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,4.0
KCPA,0.1,4.0
Neural-ECF,0.1,102.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,3.0
