Method,rho2,alpha2,MAE,time_s
Neural-ECF[argmax],-0.3,1.5,0.0,0.7755839824676514
Neural-ECF[peaks],-0.3,1.5,0.0,0.7755839824676514
MIDAST[KS],-0.3,1.5,1.0,23.275175094604492
Neural-ECF[argmax],-0.3,1.5,0.0,0.8076579570770264
Neural-ECF[peaks],-0.3,1.5,0.0,0.8076579570770264
MIDAST[KS],-0.3,1.5,0.0,24.382014989852905
Neural-ECF[argmax],-0.3,1.5,0.0,0.8250610828399658
Neural-ECF[peaks],-0.3,1.5,0.0,0.8250610828399658
MIDAST[KS],-0.3,1.5,0.0,24.591715097427368
Neural-ECF[argmax],-0.3,1.5,15.0,0.8165318965911865
Neural-ECF[peaks],-0.3,1.5,15.0,0.8165318965911865
MIDAST[KS],-0.3,1.5,0.0,25.33299708366394
Neural-ECF[argmax],-0.3,1.5,0.0,0.8472151756286621
Neural-ECF[peaks],-0.3,1.5,0.0,0.8472151756286621
MIDAST[KS],-0.3,1.5,0.0,26.434563159942627
Neural-ECF[argmax],-0.3,1.5,0.0,0.9158322811126709
Neural-ECF[peaks],-0.3,1.5,0.0,0.9158322811126709
MIDAST[KS],-0.3,1.5,0.0,27.882380962371826
Neural-ECF[argmax],-0.3,1.5,0.0,0.9371378421783447
Neural-ECF[peaks],-0.3,1.5,0.0,0.9371378421783447
MIDAST[KS],-0.3,1.5,0.0,29.426674842834473
Neural-ECF[argmax],-0.3,1.5,0.0,0.9830718040466309
Neural-ECF[peaks],-0.3,1.5,0.0,0.9830718040466309
MIDAST[KS],-0.3,1.5,0.0,30.742905139923096
Neural-ECF[argmax],-0.3,1.5,0.0,1.0087130069732666
Neural-ECF[peaks],-0.3,1.5,0.0,1.0087130069732666
MIDAST[KS],-0.3,1.5,1.0,30.93663191795349
Neural-ECF[argmax],-0.3,1.5,0.0,1.0112478733062744
Neural-ECF[peaks],-0.3,1.5,0.0,1.0112478733062744
MIDAST[KS],-0.3,1.5,0.0,31.437391996383667
Neural-ECF[argmax],-0.3,1.5,0.0,1.0177500247955322
Neural-ECF[peaks],-0.3,1.5,0.0,1.0177500247955322
MIDAST[KS],-0.3,1.5,0.0,32.14650583267212
Neural-ECF[argmax],-0.3,1.5,0.0,1.0864388942718506
Neural-ECF[peaks],-0.3,1.5,0.0,1.0864388942718506
MIDAST[KS],-0.3,1.5,0.0,32.45620822906494
Neural-ECF[argmax],-0.3,1.5,5.0,1.027421236038208
Neural-ECF[peaks],-0.3,1.5,5.0,1.027421236038208
MIDAST[KS],-0.3,1.5,0.0,32.376407861709595
Neural-ECF[argmax],-0.3,1.5,0.0,1.0092308521270752
Neural-ECF[peaks],-0.3,1.5,0.0,1.0092308521270752
MIDAST[KS],-0.3,1.5,0.0,32.779135942459106
Neural-ECF[argmax],-0.3,1.5,0.0,1.0670239925384521
Neural-ECF[peaks],-0.3,1.5,0.0,1.0670239925384521
MIDAST[KS],-0.3,1.5,3.0,31.97908902168274
Neural-ECF[argmax],-0.3,1.5,0.0,1.0890610218048096
Neural-ECF[peaks],-0.3,1.5,0.0,1.0890610218048096
MIDAST[KS],-0.3,1.5,3.0,32.158008098602295
Neural-ECF[argmax],-0.3,1.5,5.0,1.0047991275787354
Neural-ECF[peaks],-0.3,1.5,5.0,1.0047991275787354
MIDAST[KS],-0.3,1.5,1.0,31.94754695892334
Neural-ECF[argmax],-0.3,1.5,0.0,1.0061390399932861
Neural-ECF[peaks],-0.3,1.5,0.0,1.0061390399932861
MIDAST[KS],-0.3,1.5,0.0,31.143280029296875
Neural-ECF[argmax],-0.3,1.5,0.0,1.016831874847412
Neural-ECF[peaks],-0.3,1.5,0.0,1.016831874847412
MIDAST[KS],-0.3,1.5,0.0,31.285150051116943
Neural-ECF[argmax],-0.3,1.5,0.0,0.9985940456390381
Neural-ECF[peaks],-0.3,1.5,0.0,0.9985940456390381
MIDAST[KS],-0.3,1.5,0.0,31.240762948989868
Neural-ECF[argmax],-0.3,1.5,0.0,0.9671969413757324
