Method,rho2,alpha2,MAE,time_s
Neural-ECF[argmax],0.9,1.5,10.0,1.8608109951019287
Neural-ECF[peaks],0.9,1.5,10.0,1.8608109951019287
MIDAST[KS],0.9,1.5,,5.691996812820435
Neural-ECF[argmax],0.9,1.5,0.0,1.726867914199829
Neural-ECF[peaks],0.9,1.5,0.0,1.726867914199829
MIDAST[KS],0.9,1.5,,5.385906219482422
Neural-ECF[argmax],0.9,1.5,10.0,1.6301958560943604
Neural-ECF[peaks],0.9,1.5,10.0,1.6301958560943604
MIDAST[KS],0.9,1.5,,5.315471172332764
Neural-ECF[argmax],0.9,1.5,15.0,1.725950002670288
Neural-ECF[peaks],0.9,1.5,15.0,1.725950002670288
MIDAST[KS],0.9,1.5,,5.3212199211120605
Neural-ECF[argmax],0.9,1.5,0.0,1.7242720127105713
Neural-ECF[peaks],0.9,1.5,0.0,1.7242720127105713
MIDAST[KS],0.9,1.5,,5.328188180923462
Neural-ECF[argmax],0.9,1.5,10.0,1.7046420574188232
Neural-ECF[peaks],0.9,1.5,10.0,1.7046420574188232
MIDAST[KS],0.9,1.5,,5.368479013442993
Neural-ECF[argmax],0.9,1.5,10.0,1.7173449993133545
Neural-ECF[peaks],0.9,1.5,10.0,1.7173449993133545
MIDAST[KS],0.9,1.5,,5.368090867996216
Neural-ECF[argmax],0.9,1.5,5.0,1.6582489013671875
Neural-ECF[peaks],0.9,1.5,5.0,1.6582489013671875
MIDAST[KS],0.9,1.5,,5.255717754364014
Neural-ECF[argmax],0.9,1.5,45.0,1.7196710109710693
Neural-ECF[peaks],0.9,1.5,45.0,1.7196710109710693
MIDAST[KS],0.9,1.5,,5.2473061084747314
Neural-ECF[argmax],0.9,1.5,15.0,1.6048359870910645
Neural-ECF[peaks],0.9,1.5,15.0,1.6048359870910645
MIDAST[KS],0.9,1.5,,5.2621848583221436
Neural-ECF[argmax],0.9,1.5,5.0,1.6579358577728271
Neural-ECF[peaks],0.9,1.5,5.0,1.6579358577728271
MIDAST[KS],0.9,1.5,,5.416898965835571
Neural-ECF[argmax],0.9,1.5,20.0,1.6671831607818604
Neural-ECF[peaks],0.9,1.5,20.0,1.6671831607818604
MIDAST[KS],0.9,1.5,,5.360922813415527
Neural-ECF[argmax],0.9,1.5,0.0,1.6515929698944092
Neural-ECF[peaks],0.9,1.5,0.0,1.6515929698944092
MIDAST[KS],0.9,1.5,,5.31187105178833
Neural-ECF[argmax],0.9,1.5,5.0,1.6696550846099854
Neural-ECF[peaks],0.9,1.5,5.0,1.6696550846099854
MIDAST[KS],0.9,1.5,,5.2922070026397705
Neural-ECF[argmax],0.9,1.5,15.0,1.6359591484069824
Neural-ECF[peaks],0.9,1.5,15.0,1.6359591484069824
MIDAST[KS],0.9,1.5,,5.510840892791748
Neural-ECF[argmax],0.9,1.5,10.0,1.6643569469451904
Neural-ECF[peaks],0.9,1.5,10.0,1.6643569469451904
MIDAST[KS],0.9,1.5,,5.337574243545532
Neural-ECF[argmax],0.9,1.5,5.0,1.6733591556549072
Neural-ECF[peaks],0.9,1.5,5.0,1.6733591556549072
MIDAST[KS],0.9,1.5,,5.256601095199585
Neural-ECF[argmax],0.9,1.5,5.0,1.669248104095459
Neural-ECF[peaks],0.9,1.5,5.0,1.669248104095459
MIDAST[KS],0.9,1.5,,5.3649609088897705
Neural-ECF[argmax],0.9,1.5,5.0,1.6782171726226807
