Method,n_star_ratio,MAE,time_s
Neural-ECF[argmax],0.7,0,1.0438477993011475
Neural-ECF[peaks],0.7,0,1.0438477993011475
MIDAST[KS],0.7,0,3.2265758514404297
Neural-ECF[argmax],0.7,40,1.0083026885986328
Neural-ECF[peaks],0.7,40,1.0083026885986328
MIDAST[KS],0.7,0,3.211026191711426
Neural-ECF[argmax],0.7,0,1.0094478130340576
Neural-ECF[peaks],0.7,0,1.0094478130340576
MIDAST[KS],0.7,0,3.1655452251434326
Neural-ECF[argmax],0.7,5,1.0269920825958252
Neural-ECF[peaks],0.7,5,1.0269920825958252
MIDAST[KS],0.7,0,3.2440481185913086
Neural-ECF[argmax],0.7,10,1.0729591846466064
Neural-ECF[peaks],0.7,10,1.0729591846466064
MIDAST[KS],0.7,0,3.174015998840332
Neural-ECF[argmax],0.7,15,1.017991065979004
Neural-ECF[peaks],0.7,15,1.017991065979004
MIDAST[KS],0.7,0,3.1634230613708496
Neural-ECF[argmax],0.7,0,1.0111150741577148
Neural-ECF[peaks],0.7,0,1.0111150741577148
MIDAST[KS],0.7,0,3.166710138320923
Neural-ECF[argmax],0.7,0,1.0093560218811035
Neural-ECF[peaks],0.7,0,1.0093560218811035
MIDAST[KS],0.7,0,3.1789698600769043
Neural-ECF[argmax],0.7,45,1.0279960632324219
Neural-ECF[peaks],0.7,45,1.0279960632324219
MIDAST[KS],0.7,0,3.1905558109283447
Neural-ECF[argmax],0.7,5,0.9703259468078613
Neural-ECF[peaks],0.7,5,0.9703259468078613
MIDAST[KS],0.7,0,3.4317541122436523
Neural-ECF[argmax],0.7,15,0.8138160705566406
Neural-ECF[peaks],0.7,15,0.8138160705566406
MIDAST[KS],0.7,0,3.185148000717163
Neural-ECF[argmax],0.7,0,1.0223710536956787
Neural-ECF[peaks],0.7,0,1.0223710536956787
MIDAST[KS],0.7,0,3.1803860664367676
Neural-ECF[argmax],0.7,0,0.9815011024475098
Neural-ECF[peaks],0.7,0,0.9815011024475098
MIDAST[KS],0.7,0,3.253843069076538
Neural-ECF[argmax],0.7,0,0.9884078502655029
Neural-ECF[peaks],0.7,0,0.9884078502655029
MIDAST[KS],0.7,0,3.141716957092285
Neural-ECF[argmax],0.7,0,1.002506971359253
Neural-ECF[peaks],0.7,0,1.002506971359253
MIDAST[KS],0.7,0,3.1967198848724365
Neural-ECF[argmax],0.7,5,1.0228948593139648
Neural-ECF[peaks],0.7,5,1.0228948593139648
MIDAST[KS],0.7,0,3.20328688621521
Neural-ECF[argmax],0.7,0,0.9950978755950928
Neural-ECF[peaks],0.7,0,0.9950978755950928
MIDAST[KS],0.7,0,3.1360390186309814
Neural-ECF[argmax],0.7,0,0.9744551181793213
Neural-ECF[peaks],0.7,0,0.9744551181793213
MIDAST[KS],0.7,0,3.1503818035125732
Neural-ECF[argmax],0.7,0,1.0069539546966553
Neural-ECF[peaks],0.7,0,1.0069539546966553
MIDAST[KS],0.7,0,3.1992549896240234
Neural-ECF[argmax],0.7,10,0.9876911640167236
Neural-ECF[peaks],0.7,10,0.9876911640167236
MIDAST[KS],0.7,0,3.2323877811431885
Neural-ECF[argmax],0.7,20,1.0019891262054443
Neural-ECF[peaks],0.7,20,1.0019891262054443
MIDAST[KS],0.7,0,3.1131348609924316
Neural-ECF[argmax],0.7,0,0.9943990707397461
Neural-ECF[peaks],0.7,0,0.9943990707397461
MIDAST[KS],0.7,0,3.2041232585906982
Neural-ECF[argmax],0.7,55,0.9907269477844238
Neural-ECF[peaks],0.7,55,0.9907269477844238
MIDAST[KS],0.7,0,3.162313222885132
Neural-ECF[argmax],0.7,30,0.9639520645141602
Neural-ECF[peaks],0.7,30,0.9639520645141602
MIDAST[KS],0.7,0,3.1748547554016113
Neural-ECF[argmax],0.7,30,0.9958670139312744
Neural-ECF[peaks],0.7,30,0.9958670139312744
MIDAST[KS],0.7,0,3.161106824874878
Neural-ECF[argmax],0.7,30,0.9900071620941162
Neural-ECF[peaks],0.7,30,0.9900071620941162
MIDAST[KS],0.7,0,3.0975048542022705
Neural-ECF[argmax],0.7,0,0.9941267967224121
Neural-ECF[peaks],0.7,0,0.9941267967224121
MIDAST[KS],0.7,0,3.1254019737243652
Neural-ECF[argmax],0.7,0,0.9887948036193848
Neural-ECF[peaks],0.7,0,0.9887948036193848
MIDAST[KS],0.7,0,3.188338041305542
Neural-ECF[argmax],0.7,0,1.0142021179199219
Neural-ECF[peaks],0.7,0,1.0142021179199219
MIDAST[KS],0.7,0,3.1447670459747314
Neural-ECF[argmax],0.7,15,0.9679872989654541
Neural-ECF[peaks],0.7,15,0.9679872989654541
MIDAST[KS],0.7,0,3.1428310871124268
Neural-ECF[argmax],0.7,0,1.0091300010681152
Neural-ECF[peaks],0.7,0,1.0091300010681152
MIDAST[KS],0.7,0,3.163400888442993
Neural-ECF[argmax],0.7,0,0.9730472564697266
Neural-ECF[peaks],0.7,0,0.9730472564697266
MIDAST[KS],0.7,0,3.076201915740967
Neural-ECF[argmax],0.7,0,0.9763846397399902
Neural-ECF[peaks],0.7,0,0.9763846397399902
MIDAST[KS],0.7,0,3.1000850200653076
Neural-ECF[argmax],0.7,50,0.976142168045044
Neural-ECF[peaks],0.7,50,0.976142168045044
MIDAST[KS],0.7,0,3.1030590534210205
Neural-ECF[argmax],0.7,0,0.9691898822784424
Neural-ECF[peaks],0.7,0,0.9691898822784424
MIDAST[KS],0.7,0,3.179344892501831
Neural-ECF[argmax],0.7,0,0.9646320343017578
Neural-ECF[peaks],0.7,0,0.9646320343017578
MIDAST[KS],0.7,0,3.139268159866333
Neural-ECF[argmax],0.7,5,1.0032918453216553
Neural-ECF[peaks],0.7,5,1.0032918453216553
MIDAST[KS],0.7,0,3.1342098712921143
Neural-ECF[argmax],0.7,0,0.9794869422912598
Neural-ECF[peaks],0.7,0,0.9794869422912598
MIDAST[KS],0.7,0,3.158890962600708
Neural-ECF[argmax],0.7,0,0.9619667530059814
Neural-ECF[peaks],0.7,0,0.9619667530059814
MIDAST[KS],0.7,0,3.1883599758148193
Neural-ECF[argmax],0.7,0,0.9683139324188232
Neural-ECF[peaks],0.7,0,0.9683139324188232
MIDAST[KS],0.7,0,3.1075592041015625
Neural-ECF[argmax],0.7,0,1.01615309715271
Neural-ECF[peaks],0.7,0,1.01615309715271
MIDAST[KS],0.7,0,3.079068899154663
Neural-ECF[argmax],0.7,10,1.0035409927368164
Neural-ECF[peaks],0.7,10,1.0035409927368164
MIDAST[KS],0.7,0,3.089087963104248
Neural-ECF[argmax],0.7,0,0.9916160106658936
Neural-ECF[peaks],0.7,0,0.9916160106658936
MIDAST[KS],0.7,0,3.0733766555786133
Neural-ECF[argmax],0.7,0,0.981273889541626
Neural-ECF[peaks],0.7,0,0.981273889541626
MIDAST[KS],0.7,0,3.1409809589385986
Neural-ECF[argmax],0.7,70,0.983212947845459
Neural-ECF[peaks],0.7,70,0.983212947845459
MIDAST[KS],0.7,0,3.2078962326049805
Neural-ECF[argmax],0.7,5,0.9850099086761475
